id,pos,speed,delay
1,1922,50,
6,2046,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2973,50,
6,1000,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2973,50,
6,1000,50,
7,1727,50,
2,2388,50,
3,838,50,
8,208,50,
4,640,50,
9,318,50,
,,,3
1,2973,50,
6,1000,50,
7,1514,30,
2,2603,30,
3,838,50,
8,208,50,
4,930,130,
9,35,130,
,,,3
1,2973,50,
6,1000,50,
7,1727,20,
2,2388,20,
3,838,50,
8,208,50,
4,497,170,
9,458,170,
,,,2
1,2973,50,
6,1000,50,
7,1514,30,
2,2603,30,
3,838,50,
8,208,50,
4,930,130,
9,35,130,
,,,2
1,2973,50,
6,1000,50,
7,1727,20,
2,2388,20,
3,838,50,
8,208,50,
4,497,170,
9,458,170,
,,,3
