id,pos,speed,delay
1,2000,50,
6,1990,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2982,50,
6,1000,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2982,50,
6,1000,50,
2,2300,50,
7,1800,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,0.75
1,3182,50,
6,1200,50,
2,2300,50,
7,1800,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,0.75
1,2782,50,
6,800,50,
2,2300,50,
7,1800,50,
3,834,50,
8,205,50,
4,512,50,
9,450,50,
,,,0.75
1,3182,50,
6,1200,50,
2,2300,50,
7,1800,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,0.75
1,2782,50,
6,800,50,
2,2300,50,
7,1800,50,
3,834,50,
8,205,50,
4,512,50,
9,450,50,
,,,0.75
1,2982,50,
6,1000,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,0.75
1,2000,50,
6,1990,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
